"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @babyy_pepsi: @Brazil eat shit and die",FALSE,0,NA,2018-07-06 19:56:29,FALSE,NA,"1015323621005422592",NA,"<a href=""https://google.com"" rel=""nofollow"">eat it app</a>","chug_soylent",1,TRUE,FALSE,NA,NA
"@Brazil eat shit and die",FALSE,0,"Brazil",2018-07-06 19:56:29,FALSE,NA,"1015323619814092800","1176695388","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babyy_pepsi",1,FALSE,FALSE,NA,NA
"Going to put it out there @Belgianfootball lucky. @Brazil could have scored 3 in first half. Blatant penalty not gi… https://t.co/Xl28tYSXQr",FALSE,1,NA,2018-07-06 19:56:27,TRUE,NA,"1015323612239351811",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sjdhatters",0,FALSE,FALSE,NA,NA
"@Vayan_ @Brazil no damn luck <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+0096>",FALSE,0,"Vayan_",2018-07-06 19:56:27,FALSE,"1015321122987003904","1015323609760501761","183957775","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moe_alhag",0,FALSE,FALSE,NA,NA
"@Rehan_ulhaq They got luck against @Brazil",FALSE,0,"Rehan_ulhaq",2018-07-06 19:56:26,FALSE,"1015323425508855808","1015323609387036672","360278815","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","famousentsj",0,FALSE,FALSE,NA,NA
"@alexbaidaoui @Brazil how’s it feel knowing ever team you cheer for is going to lose",FALSE,0,"alexbaidaoui",2018-07-06 19:56:16,FALSE,"1015318827687661569","1015323566370361345","2789014099","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","___raf__",0,FALSE,FALSE,NA,NA
"in the morning, early in the morning, in the morning @Brazil park your load and go...",FALSE,0,NA,2018-07-06 19:56:13,FALSE,NA,"1015323551522611200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sly_peroxide1",0,FALSE,FALSE,NA,NA
"@BAFf16display @BelRedDevils @Brazil Brilliant . Well done Belgium",FALSE,0,"BAFf16display",2018-07-06 19:56:10,FALSE,"1015292697593176065","1015323542458642432","4921108636","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vpreston1968",0,FALSE,FALSE,NA,NA
"Great job @Brazil you played like champs despite obvious bad calls. You got robbed. #WorldCup2018",FALSE,1,NA,2018-07-06 19:56:08,FALSE,NA,"1015323531813576706",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inglshmajer",1,FALSE,FALSE,NA,NA
"Wow <f0><U+009F><U+0098><U+00B2> can’t believe @Brazil  lost this game! #WorldCupRussia2018",FALSE,0,NA,2018-07-06 19:56:05,FALSE,NA,"1015323519222247426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cpjoygw",0,FALSE,FALSE,NA,NA
"#WorldCup  @Brazil  go home <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>",FALSE,0,NA,2018-07-06 19:56:03,FALSE,NA,"1015323513178079232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","selfiesvapen",0,FALSE,FALSE,NA,NA
"Well when you talk trash to Mexico, that tends to happen. @Brazil",FALSE,2,NA,2018-07-06 19:55:59,FALSE,NA,"1015323493020389376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MidWestChris1",0,FALSE,FALSE,NA,NA
"What a great finish.  @Brazil gave it a good run but #Belgium is clearly winner.  That next match -vs- #France shou… https://t.co/PDSLrCzM1F",FALSE,0,NA,2018-07-06 19:55:53,TRUE,NA,"1015323470245322753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thebandwagonfan",0,FALSE,FALSE,NA,NA
"proud of my team @Brazil .",FALSE,0,NA,2018-07-06 19:55:43,FALSE,NA,"1015323427044052992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waelf91",0,FALSE,FALSE,NA,NA
"Have a nice flight @brazil",FALSE,3,NA,2018-07-06 19:55:42,FALSE,NA,"1015323423483023365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoahKettenring",0,FALSE,FALSE,NA,NA
"E FOR EFFORT @Brazil",FALSE,8,NA,2018-07-06 19:55:38,FALSE,NA,"1015323407020384256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsY3ti",0,FALSE,FALSE,NA,NA
"#BRABEL Go home @Brazil plus all your overconfident fans!! Good job #BEL fantastic play!! Beautiful game!!
#WorldCup #WorldCup2018",FALSE,1,NA,2018-07-06 19:55:37,FALSE,NA,"1015323400787677184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WageniSpeaks",0,FALSE,FALSE,NA,NA
